Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:11,700.91,N/A,153,N/A,119,32
2025-09-15,18:44:13,1249.25,N/A,473,N/A,443,36
2025-09-15,18:44:14,375.94,N/A,110,N/A,154,11
2025-09-15,18:44:14,1319.17,N/A,368,N/A,471,87
2025-09-15,18:44:14,381.45,N/A,459,N/A,78,2
2025-09-15,18:44:14,828.2,N/A,400,N/A,18,75
2025-09-15,18:44:14,718.75,N/A,58,N/A,121,7
2025-09-15,18:44:15,444.41,N/A,103,N/A,416,92
2025-09-15,18:44:15,973.28,N/A,476,N/A,218,41
2025-09-15,18:44:15,728.1,N/A,82,N/A,320,20
2025-09-15,18:44:16,833.32,N/A,392,N/A,280,4
2025-09-15,18:44:16,427.73,N/A,177,N/A,340,31
2025-09-15,18:44:17,1362.23,N/A,80,N/A,394,66
2025-09-15,18:44:18,480.99,N/A,1,N/A,489,34
2025-09-15,18:44:19,948.94,N/A,221,N/A,432,63
2025-09-15,18:44:19,391.89,N/A,38,N/A,84,40
2025-09-15,18:44:20,683.9,N/A,380,N/A,241,55
2025-09-15,18:44:22,436.39,N/A,52,N/A,395,61
2025-09-15,18:44:22,1115.1,N/A,26,N/A,410,23
2025-09-15,18:44:23,1009.49,N/A,208,N/A,121,90
2025-09-15,18:44:23,476.94,N/A,418,N/A,311,87
2025-09-15,18:44:24,223.38,N/A,199,N/A,474,25
2025-09-15,18:44:24,496.04,N/A,427,N/A,328,71
2025-09-15,18:44:24,180.08,N/A,255,N/A,344,1
2025-09-15,18:44:25,467.37,N/A,134,N/A,239,16
2025-09-15,18:44:26,892.52,N/A,304,N/A,3,40
2025-09-15,18:44:27,1007.37,N/A,280,N/A,337,32
2025-09-15,18:44:27,403.91,N/A,145,N/A,371,46
2025-09-15,18:44:27,756.38,N/A,388,N/A,38,13
2025-09-15,18:44:27,1042.91,N/A,35,N/A,490,66
2025-09-15,18:44:28,732.26,N/A,217,N/A,207,49
2025-09-15,18:44:28,1265.92,N/A,215,N/A,53,70
2025-09-15,18:44:29,539.86,N/A,315,N/A,439,65
2025-09-15,18:44:30,370.37,N/A,286,N/A,426,58
2025-09-15,18:44:31,678.52,N/A,101,N/A,498,34
2025-09-15,18:44:31,1402.12,N/A,222,N/A,409,17
2025-09-15,18:44:31,1441.41,N/A,289,N/A,234,36
2025-09-15,18:44:32,704.33,N/A,84,N/A,75,22
2025-09-15,18:44:33,461.73,N/A,411,N/A,38,27
2025-09-15,18:44:33,918.63,N/A,73,N/A,360,82
2025-09-15,18:44:34,1232.82,N/A,199,N/A,24,14
2025-09-15,18:44:34,195.86,N/A,110,N/A,392,3
2025-09-15,18:44:35,612.16,N/A,81,N/A,96,68
2025-09-15,18:44:35,1398.5,N/A,121,N/A,62,60
2025-09-15,18:44:36,733.14,N/A,104,N/A,434,95
2025-09-15,18:44:38,1018.81,N/A,273,N/A,292,9
2025-09-15,18:44:38,989.93,N/A,314,N/A,174,57
2025-09-15,18:44:38,379.51,N/A,36,N/A,499,44
2025-09-15,18:44:38,1473.68,N/A,365,N/A,486,60
2025-09-15,18:44:38,1154.31,N/A,241,N/A,406,41
2025-09-15,18:44:39,1266.46,N/A,135,N/A,143,41
2025-09-15,18:44:40,257.98,N/A,127,N/A,72,54
