Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:10,773.7,N/A,320,N/A,445,95
2025-09-15,18:44:10,1440.1,N/A,75,N/A,391,57
2025-09-15,18:44:12,157.13,N/A,65,N/A,147,25
2025-09-15,18:44:12,320.02,N/A,110,N/A,492,57
2025-09-15,18:44:13,764.38,N/A,156,N/A,485,63
2025-09-15,18:44:13,1210.87,N/A,64,N/A,453,21
2025-09-15,18:44:13,337.6,N/A,162,N/A,190,22
2025-09-15,18:44:14,1392.71,N/A,363,N/A,437,82
2025-09-15,18:44:14,1274.2,N/A,497,N/A,293,8
2025-09-15,18:44:18,1220.03,N/A,367,N/A,366,81
2025-09-15,18:44:18,183.3,N/A,410,N/A,34,70
2025-09-15,18:44:20,438.48,N/A,33,N/A,143,1
2025-09-15,18:44:21,444.99,N/A,393,N/A,30,48
2025-09-15,18:44:21,1317.26,N/A,122,N/A,107,39
2025-09-15,18:44:22,836.34,N/A,186,N/A,446,12
2025-09-15,18:44:22,532.49,N/A,327,N/A,134,30
2025-09-15,18:44:22,1256.09,N/A,130,N/A,53,72
2025-09-15,18:44:23,1108.11,N/A,478,N/A,380,7
2025-09-15,18:44:23,739.56,N/A,395,N/A,284,72
2025-09-15,18:44:23,1488.64,N/A,197,N/A,95,9
2025-09-15,18:44:24,949.15,N/A,51,N/A,468,43
2025-09-15,18:44:24,1006.56,N/A,256,N/A,498,12
2025-09-15,18:44:25,130.44,N/A,328,N/A,444,98
2025-09-15,18:44:25,1358.11,N/A,23,N/A,272,86
2025-09-15,18:44:26,1332.98,N/A,262,N/A,190,9
2025-09-15,18:44:27,1234.19,N/A,160,N/A,147,61
2025-09-15,18:44:27,147.59,N/A,95,N/A,215,99
2025-09-15,18:44:27,1325.72,N/A,5,N/A,289,58
2025-09-15,18:44:27,990.83,N/A,357,N/A,370,82
2025-09-15,18:44:28,1039.71,N/A,410,N/A,213,19
2025-09-15,18:44:28,1022.19,N/A,460,N/A,136,66
2025-09-15,18:44:29,750.99,N/A,55,N/A,235,39
2025-09-15,18:44:30,1208.37,N/A,274,N/A,341,10
2025-09-15,18:44:30,993.28,N/A,171,N/A,249,56
2025-09-15,18:44:30,1321.26,N/A,372,N/A,7,64
2025-09-15,18:44:30,604.98,N/A,384,N/A,107,77
