Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:10,1326.41,N/A,444,N/A,84,23
2025-09-15,18:44:12,1247.54,N/A,389,N/A,269,57
2025-09-15,18:44:12,378.35,N/A,96,N/A,209,37
2025-09-15,18:44:12,1104.2,N/A,205,N/A,290,56
2025-09-15,18:44:12,139.69,N/A,500,N/A,202,49
2025-09-15,18:44:13,975.76,N/A,153,N/A,244,3
2025-09-15,18:44:13,285.95,N/A,459,N/A,130,3
2025-09-15,18:44:13,961.91,N/A,51,N/A,191,69
2025-09-15,18:44:14,1448.91,N/A,323,N/A,17,87
2025-09-15,18:44:14,905.44,N/A,233,N/A,208,70
2025-09-15,18:44:14,662.14,N/A,53,N/A,438,91
2025-09-15,18:44:14,227.49,N/A,462,N/A,353,55
2025-09-15,18:44:15,1326.88,N/A,94,N/A,20,66
2025-09-15,18:44:15,148.63,N/A,246,N/A,243,47
2025-09-15,18:44:15,1044.64,N/A,156,N/A,408,99
2025-09-15,18:44:15,972.98,N/A,277,N/A,181,20
2025-09-15,18:44:16,946.98,N/A,390,N/A,17,91
2025-09-15,18:44:16,449.24,N/A,326,N/A,359,24
2025-09-15,18:44:16,201.15,N/A,321,N/A,279,49
2025-09-15,18:44:17,1403.98,N/A,376,N/A,429,58
2025-09-15,18:44:19,1057.06,N/A,224,N/A,95,2
2025-09-15,18:44:20,1345.25,N/A,303,N/A,200,82
2025-09-15,18:44:20,500.97,N/A,484,N/A,358,30
2025-09-15,18:44:20,1164.3,N/A,372,N/A,132,41
2025-09-15,18:44:21,300.53,N/A,277,N/A,193,40
2025-09-15,18:44:21,1426.69,N/A,354,N/A,222,26
2025-09-15,18:44:21,422.03,N/A,172,N/A,158,72
2025-09-15,18:44:21,601.68,N/A,41,N/A,44,25
2025-09-15,18:44:22,1459.99,N/A,407,N/A,271,15
2025-09-15,18:44:22,1410.8,N/A,25,N/A,33,37
2025-09-15,18:44:23,689.94,N/A,85,N/A,48,63
2025-09-15,18:44:24,518.29,N/A,112,N/A,326,58
2025-09-15,18:44:25,1025.11,N/A,152,N/A,304,68
2025-09-15,18:44:25,431.65,N/A,420,N/A,160,35
2025-09-15,18:44:25,987.04,N/A,402,N/A,368,39
2025-09-15,18:44:28,1472.89,N/A,313,N/A,67,48
2025-09-15,18:44:30,1377.98,N/A,429,N/A,310,95
2025-09-15,18:44:30,1155.83,N/A,206,N/A,465,77
2025-09-15,18:44:30,932.63,N/A,306,N/A,38,74
2025-09-15,18:44:30,957.4,N/A,257,N/A,27,75
2025-09-15,18:44:31,1017.96,N/A,171,N/A,298,70
2025-09-15,18:44:31,789.25,N/A,30,N/A,483,18
2025-09-15,18:44:31,105.36,N/A,222,N/A,447,75
2025-09-15,18:44:32,994.49,N/A,109,N/A,115,70
2025-09-15,18:44:32,148.03,N/A,142,N/A,372,36
2025-09-15,18:44:33,1238.88,N/A,115,N/A,309,65
2025-09-15,18:44:34,1035.22,N/A,425,N/A,431,14
2025-09-15,18:44:35,937.45,N/A,202,N/A,439,36
2025-09-15,18:44:35,304.72,N/A,455,N/A,397,59
2025-09-15,18:44:36,1001.22,N/A,293,N/A,226,69
2025-09-15,18:44:37,291.2,N/A,202,N/A,58,53
2025-09-15,18:44:38,1004.01,N/A,60,N/A,290,26
2025-09-15,18:44:38,613.48,N/A,284,N/A,410,2
