Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:10,272.18,N/A,487,N/A,50,9
2025-09-15,18:44:10,851.7,N/A,460,N/A,124,88
2025-09-15,18:44:11,959.54,N/A,208,N/A,420,12
2025-09-15,18:44:13,386.96,N/A,24,N/A,307,82
2025-09-15,18:44:14,330.45,N/A,17,N/A,409,58
2025-09-15,18:44:14,1003.91,N/A,313,N/A,302,7
2025-09-15,18:44:16,1033.87,N/A,111,N/A,489,61
2025-09-15,18:44:16,836.94,N/A,355,N/A,395,62
2025-09-15,18:44:16,917.39,N/A,281,N/A,128,10
2025-09-15,18:44:16,623.17,N/A,140,N/A,484,71
2025-09-15,18:44:17,1030.98,N/A,353,N/A,331,70
2025-09-15,18:44:17,1122.2,N/A,380,N/A,466,36
2025-09-15,18:44:17,961.5,N/A,360,N/A,498,8
2025-09-15,18:44:18,1306.83,N/A,215,N/A,66,84
2025-09-15,18:44:18,188.42,N/A,302,N/A,291,94
2025-09-15,18:44:18,147.61,N/A,304,N/A,312,41
2025-09-15,18:44:19,756.92,N/A,132,N/A,170,85
2025-09-15,18:44:19,1015.55,N/A,338,N/A,235,34
2025-09-15,18:44:19,1427.47,N/A,465,N/A,87,75
2025-09-15,18:44:19,928.15,N/A,109,N/A,466,23
2025-09-15,18:44:20,171.43,N/A,283,N/A,457,97
2025-09-15,18:44:21,1311.26,N/A,395,N/A,318,60
2025-09-15,18:44:21,595.07,N/A,306,N/A,404,88
2025-09-15,18:44:21,303.35,N/A,395,N/A,120,86
2025-09-15,18:44:22,120.66,N/A,495,N/A,38,75
2025-09-15,18:44:22,534.6,N/A,76,N/A,43,86
2025-09-15,18:44:22,1032.28,N/A,272,N/A,353,96
2025-09-15,18:44:22,252.85,N/A,146,N/A,494,68
2025-09-15,18:44:23,1332.15,N/A,17,N/A,219,43
2025-09-15,18:44:24,1117.08,N/A,87,N/A,222,6
2025-09-15,18:44:25,1272.45,N/A,78,N/A,422,70
2025-09-15,18:44:26,1018.37,N/A,483,N/A,355,2
2025-09-15,18:44:26,1031.21,N/A,400,N/A,495,27
2025-09-15,18:44:26,327.53,N/A,266,N/A,301,62
2025-09-15,18:44:27,1100.41,N/A,406,N/A,238,78
2025-09-15,18:44:28,463.02,N/A,167,N/A,368,42
2025-09-15,18:44:29,674.99,N/A,205,N/A,437,30
2025-09-15,18:44:29,1282.96,N/A,184,N/A,3,87
2025-09-15,18:44:31,132.22,N/A,407,N/A,39,98
2025-09-15,18:44:31,1350.68,N/A,351,N/A,74,19
2025-09-15,18:44:31,1426.48,N/A,195,N/A,328,96
2025-09-15,18:44:32,231.82,N/A,175,N/A,282,75
2025-09-15,18:44:32,604.66,N/A,317,N/A,35,52
2025-09-15,18:44:32,819.88,N/A,208,N/A,102,68
2025-09-15,18:44:33,206.89,N/A,222,N/A,201,41
2025-09-15,18:44:33,1230.11,N/A,400,N/A,344,57
2025-09-15,18:44:34,1349.15,N/A,89,N/A,370,12
2025-09-15,18:44:35,471.77,N/A,479,N/A,451,47
2025-09-15,18:44:35,1322.15,N/A,169,N/A,499,69
2025-09-15,18:44:35,492.37,N/A,343,N/A,263,85
2025-09-15,18:44:35,609.6,N/A,122,N/A,106,76
2025-09-15,18:44:36,1310.3,N/A,428,N/A,39,95
2025-09-15,18:44:37,1088.71,N/A,425,N/A,273,45
2025-09-15,18:44:37,444.77,N/A,469,N/A,359,6
2025-09-15,18:44:39,313.89,N/A,450,N/A,161,37
2025-09-15,18:44:40,1466.08,N/A,361,N/A,81,47
2025-09-15,18:44:40,187.61,N/A,254,N/A,430,23
2025-09-15,18:44:41,675.38,N/A,82,N/A,19,81
2025-09-15,18:44:41,717.31,N/A,371,N/A,100,31
2025-09-15,18:44:41,247.95,N/A,478,N/A,360,37
2025-09-15,18:44:42,628.98,N/A,24,N/A,364,40
2025-09-15,18:44:42,949.66,N/A,194,N/A,478,78
2025-09-15,18:44:43,253.91,N/A,496,N/A,294,34
2025-09-15,18:44:43,1277.07,N/A,442,N/A,439,43
2025-09-15,18:44:43,837.15,N/A,152,N/A,209,72
2025-09-15,18:44:44,389.05,N/A,275,N/A,35,100
2025-09-15,18:44:44,1105.4,N/A,187,N/A,289,57
2025-09-15,18:44:44,140.72,N/A,18,N/A,9,64
2025-09-15,18:44:45,377.4,N/A,213,N/A,315,99
2025-09-15,18:44:46,1055.5,N/A,482,N/A,37,59
2025-09-15,18:44:47,830.55,N/A,147,N/A,475,98
2025-09-15,18:44:47,1153.86,N/A,241,N/A,116,95
2025-09-15,18:44:47,582.53,N/A,496,N/A,17,70
2025-09-15,18:44:47,964.66,N/A,405,N/A,37,82
2025-09-15,18:44:48,1187.64,N/A,411,N/A,404,35
2025-09-15,18:44:49,307.86,N/A,3,N/A,418,87
2025-09-15,18:44:49,226.17,N/A,103,N/A,302,54
2025-09-15,18:44:49,949.97,N/A,219,N/A,330,25
2025-09-15,18:44:50,346.76,N/A,251,N/A,137,8
2025-09-15,18:44:50,118.73,N/A,224,N/A,341,41
2025-09-15,18:44:50,815.06,N/A,276,N/A,103,58
2025-09-15,18:44:51,161.27,N/A,489,N/A,61,31
2025-09-15,18:44:52,1478.58,N/A,272,N/A,196,79
2025-09-15,18:44:55,435.25,N/A,499,N/A,257,90
2025-09-15,18:44:55,1151.72,N/A,105,N/A,219,31
2025-09-15,18:44:55,300.14,N/A,45,N/A,275,17
2025-09-15,18:44:56,525.39,N/A,267,N/A,426,74
2025-09-15,18:44:56,1167.05,N/A,306,N/A,420,76
