Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:10,535.94,N/A,193,N/A,221,42
2025-09-15,18:44:10,128.29,N/A,381,N/A,344,86
2025-09-15,18:44:11,1106.81,N/A,241,N/A,54,92
2025-09-15,18:44:11,772.41,N/A,344,N/A,53,72
2025-09-15,18:44:11,204.09,N/A,348,N/A,260,3
2025-09-15,18:44:12,1403.88,N/A,382,N/A,322,52
2025-09-15,18:44:12,826.95,N/A,221,N/A,153,37
2025-09-15,18:44:14,493.13,N/A,348,N/A,208,33
2025-09-15,18:44:14,282.16,N/A,390,N/A,242,70
2025-09-15,18:44:15,1210.77,N/A,227,N/A,240,2
2025-09-15,18:44:15,1438.72,N/A,117,N/A,38,66
2025-09-15,18:44:16,1320.78,N/A,194,N/A,139,35
2025-09-15,18:44:16,1434.99,N/A,431,N/A,305,35
2025-09-15,18:44:16,100.37,N/A,256,N/A,492,54
2025-09-15,18:44:17,932.14,N/A,421,N/A,183,80
2025-09-15,18:44:17,1101.24,N/A,38,N/A,389,25
2025-09-15,18:44:18,1329.5,N/A,289,N/A,379,50
2025-09-15,18:44:18,1402.85,N/A,222,N/A,91,23
2025-09-15,18:44:18,817.59,N/A,469,N/A,134,68
2025-09-15,18:44:19,429.86,N/A,451,N/A,122,54
2025-09-15,18:44:19,319.22,N/A,122,N/A,5,6
2025-09-15,18:44:19,1124.32,N/A,263,N/A,261,71
2025-09-15,18:44:20,1369.18,N/A,154,N/A,303,90
2025-09-15,18:44:20,1335.99,N/A,144,N/A,93,95
2025-09-15,18:44:20,1232.44,N/A,358,N/A,322,40
2025-09-15,18:44:21,575.07,N/A,407,N/A,118,30
2025-09-15,18:44:22,221.71,N/A,38,N/A,357,43
2025-09-15,18:44:22,838.16,N/A,324,N/A,121,98
2025-09-15,18:44:22,1075.94,N/A,250,N/A,397,15
2025-09-15,18:44:23,123.1,N/A,143,N/A,205,43
2025-09-15,18:44:23,588.19,N/A,451,N/A,201,40
2025-09-15,18:44:24,639.76,N/A,91,N/A,471,33
2025-09-15,18:44:24,1455.11,N/A,414,N/A,374,16
2025-09-15,18:44:25,797.67,N/A,167,N/A,293,79
2025-09-15,18:44:25,778.58,N/A,177,N/A,6,63
2025-09-15,18:44:25,998.4,N/A,395,N/A,230,87
2025-09-15,18:44:26,626.22,N/A,481,N/A,382,90
2025-09-15,18:44:26,858.79,N/A,125,N/A,235,14
2025-09-15,18:44:27,914.94,N/A,224,N/A,78,27
2025-09-15,18:44:28,448.63,N/A,156,N/A,415,14
2025-09-15,18:44:29,1124.71,N/A,483,N/A,173,39
2025-09-15,18:44:30,661.59,N/A,245,N/A,375,46
2025-09-15,18:44:32,1207.42,N/A,337,N/A,219,27
2025-09-15,18:44:33,167.3,N/A,405,N/A,135,100
2025-09-15,18:44:34,499.57,N/A,10,N/A,59,31
2025-09-15,18:44:34,1174.37,N/A,436,N/A,344,9
2025-09-15,18:44:34,300.84,N/A,158,N/A,35,90
2025-09-15,18:44:34,1133.32,N/A,353,N/A,384,45
2025-09-15,18:44:34,1381.97,N/A,73,N/A,360,23
2025-09-15,18:44:36,758.07,N/A,290,N/A,32,89
2025-09-15,18:44:36,1211.21,N/A,257,N/A,322,20
2025-09-15,18:44:37,881.09,N/A,316,N/A,72,82
2025-09-15,18:44:37,1291.95,N/A,206,N/A,311,42
2025-09-15,18:44:37,627.18,N/A,311,N/A,19,78
2025-09-15,18:44:37,477.57,N/A,146,N/A,334,95
