Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:10,827.68,N/A,174,N/A,264,3
2025-09-15,18:44:11,996.75,N/A,221,N/A,262,5
2025-09-15,18:44:11,942.68,N/A,223,N/A,134,38
2025-09-15,18:44:12,1411.95,N/A,76,N/A,212,15
2025-09-15,18:44:12,1029.67,N/A,394,N/A,333,55
2025-09-15,18:44:13,273.9,N/A,367,N/A,264,34
2025-09-15,18:44:13,519.53,N/A,332,N/A,399,5
2025-09-15,18:44:15,827.23,N/A,189,N/A,250,30
2025-09-15,18:44:15,1445.6,N/A,410,N/A,428,9
2025-09-15,18:44:15,808.35,N/A,464,N/A,65,77
2025-09-15,18:44:15,1262.06,N/A,160,N/A,225,60
2025-09-15,18:44:16,907.7,N/A,196,N/A,393,34
2025-09-15,18:44:16,675.77,N/A,155,N/A,434,98
2025-09-15,18:44:16,1279.73,N/A,254,N/A,219,85
2025-09-15,18:44:17,429.69,N/A,399,N/A,131,99
2025-09-15,18:44:17,554.71,N/A,328,N/A,210,92
2025-09-15,18:44:18,1118.34,N/A,210,N/A,334,59
2025-09-15,18:44:18,825.46,N/A,490,N/A,408,90
2025-09-15,18:44:19,1452.95,N/A,482,N/A,172,12
2025-09-15,18:44:19,410.49,N/A,213,N/A,73,19
2025-09-15,18:44:20,177.74,N/A,121,N/A,353,16
2025-09-15,18:44:20,1457.37,N/A,350,N/A,458,40
2025-09-15,18:44:20,679.97,N/A,224,N/A,237,70
2025-09-15,18:44:21,972.15,N/A,353,N/A,451,27
2025-09-15,18:44:21,1318.29,N/A,121,N/A,106,43
2025-09-15,18:44:22,1079.14,N/A,171,N/A,248,91
2025-09-15,18:44:22,926.98,N/A,216,N/A,194,83
2025-09-15,18:44:23,702.32,N/A,333,N/A,393,92
2025-09-15,18:44:24,681.92,N/A,140,N/A,225,12
2025-09-15,18:44:24,1277.73,N/A,59,N/A,6,50
2025-09-15,18:44:24,1443.6,N/A,476,N/A,343,8
2025-09-15,18:44:25,812.82,N/A,10,N/A,395,22
2025-09-15,18:44:25,672.26,N/A,331,N/A,200,28
2025-09-15,18:44:25,815.86,N/A,117,N/A,49,35
