Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:10,538.56,N/A,379,N/A,466,97
2025-09-15,18:44:10,343.08,N/A,25,N/A,56,6
2025-09-15,18:44:10,1265.95,N/A,24,N/A,167,81
2025-09-15,18:44:10,1067.31,N/A,53,N/A,183,51
2025-09-15,18:44:11,781.03,N/A,69,N/A,241,84
2025-09-15,18:44:11,255.33,N/A,1,N/A,126,68
2025-09-15,18:44:11,981.06,N/A,49,N/A,136,13
2025-09-15,18:44:11,1014.25,N/A,417,N/A,53,41
2025-09-15,18:44:12,468.15,N/A,199,N/A,11,66
2025-09-15,18:44:13,540.65,N/A,391,N/A,290,10
2025-09-15,18:44:13,1351.15,N/A,287,N/A,394,5
2025-09-15,18:44:13,782.54,N/A,162,N/A,159,84
2025-09-15,18:44:13,1005.45,N/A,75,N/A,161,31
2025-09-15,18:44:17,1442.48,N/A,381,N/A,431,85
2025-09-15,18:44:18,736.52,N/A,411,N/A,274,62
2025-09-15,18:44:18,1437.91,N/A,120,N/A,116,58
2025-09-15,18:44:18,1480.76,N/A,300,N/A,258,81
2025-09-15,18:44:19,939.73,N/A,163,N/A,133,81
2025-09-15,18:44:19,690.74,N/A,25,N/A,425,20
2025-09-15,18:44:20,473.43,N/A,98,N/A,13,34
2025-09-15,18:44:21,955.98,N/A,452,N/A,11,24
2025-09-15,18:44:21,667.16,N/A,471,N/A,462,96
2025-09-15,18:44:22,1181.19,N/A,152,N/A,227,18
2025-09-15,18:44:23,1479.97,N/A,111,N/A,97,23
2025-09-15,18:44:24,393.45,N/A,141,N/A,148,29
2025-09-15,18:44:24,650.05,N/A,4,N/A,406,5
2025-09-15,18:44:24,634.1,N/A,58,N/A,427,36
2025-09-15,18:44:24,751.76,N/A,177,N/A,226,2
2025-09-15,18:44:25,446.77,N/A,356,N/A,390,75
2025-09-15,18:44:25,335.88,N/A,333,N/A,26,90
2025-09-15,18:44:26,824.92,N/A,465,N/A,494,76
2025-09-15,18:44:26,574.41,N/A,130,N/A,301,62
2025-09-15,18:44:26,1085.92,N/A,352,N/A,86,36
2025-09-15,18:44:26,994.63,N/A,397,N/A,121,41
2025-09-15,18:44:27,507.2,N/A,335,N/A,351,76
2025-09-15,18:44:27,1427.67,N/A,110,N/A,127,39
2025-09-15,18:44:29,395.0,N/A,410,N/A,332,45
2025-09-15,18:44:29,834.87,N/A,454,N/A,466,55
2025-09-15,18:44:30,1158.19,N/A,419,N/A,463,8
2025-09-15,18:44:31,1032.81,N/A,345,N/A,56,86
2025-09-15,18:44:31,261.57,N/A,257,N/A,244,21
2025-09-15,18:44:32,465.9,N/A,293,N/A,487,53
2025-09-15,18:44:32,1454.49,N/A,268,N/A,293,59
2025-09-15,18:44:33,1010.88,N/A,97,N/A,485,13
2025-09-15,18:44:35,666.12,N/A,304,N/A,275,58
2025-09-15,18:44:35,1111.86,N/A,313,N/A,464,1
2025-09-15,18:44:36,1122.75,N/A,97,N/A,460,26
2025-09-15,18:44:36,1132.89,N/A,223,N/A,140,31
2025-09-15,18:44:37,274.63,N/A,415,N/A,222,8
2025-09-15,18:44:38,1098.68,N/A,475,N/A,311,2
2025-09-15,18:44:38,643.12,N/A,117,N/A,95,82
2025-09-15,18:44:38,1386.85,N/A,496,N/A,205,53
2025-09-15,18:44:39,251.53,N/A,493,N/A,320,93
2025-09-15,18:44:39,480.19,N/A,67,N/A,83,64
2025-09-15,18:44:40,161.71,N/A,228,N/A,269,5
2025-09-15,18:44:41,1164.24,N/A,284,N/A,9,49
2025-09-15,18:44:41,950.88,N/A,52,N/A,207,77
2025-09-15,18:44:43,206.98,N/A,215,N/A,317,60
2025-09-15,18:44:43,1374.11,N/A,55,N/A,428,27
2025-09-15,18:44:44,930.24,N/A,399,N/A,236,12
2025-09-15,18:44:45,1369.58,N/A,307,N/A,388,47
2025-09-15,18:44:45,784.93,N/A,22,N/A,402,23
2025-09-15,18:44:46,727.71,N/A,356,N/A,322,84
2025-09-15,18:44:47,865.65,N/A,57,N/A,471,98
2025-09-15,18:44:47,1268.92,N/A,397,N/A,116,74
2025-09-15,18:44:48,237.35,N/A,179,N/A,218,88
2025-09-15,18:44:48,1128.16,N/A,99,N/A,278,6
2025-09-15,18:44:48,760.34,N/A,130,N/A,40,38
2025-09-15,18:44:49,1010.31,N/A,303,N/A,15,15
2025-09-15,18:44:50,1097.89,N/A,434,N/A,386,58
2025-09-15,18:44:50,802.99,N/A,463,N/A,435,25
2025-09-15,18:44:50,752.24,N/A,85,N/A,77,14
2025-09-15,18:44:51,171.55,N/A,291,N/A,483,44
2025-09-15,18:44:51,1095.52,N/A,320,N/A,446,75
2025-09-15,18:44:52,954.07,N/A,487,N/A,139,58
2025-09-15,18:44:52,800.71,N/A,289,N/A,254,57
2025-09-15,18:44:53,1476.96,N/A,54,N/A,465,43
2025-09-15,18:44:53,586.37,N/A,35,N/A,25,29
2025-09-15,18:44:55,688.66,N/A,250,N/A,195,1
2025-09-15,18:44:55,893.9,N/A,292,N/A,2,92
2025-09-15,18:44:55,764.44,N/A,453,N/A,471,60
2025-09-15,18:44:56,1214.24,N/A,270,N/A,464,16
2025-09-15,18:44:57,896.48,N/A,233,N/A,338,71
2025-09-15,18:45:00,619.89,N/A,482,N/A,454,16
2025-09-15,18:45:00,469.0,N/A,30,N/A,265,63
2025-09-15,18:45:00,1163.41,N/A,85,N/A,99,89
2025-09-15,18:45:01,236.88,N/A,460,N/A,457,20
2025-09-15,18:45:02,1261.62,N/A,85,N/A,273,54
2025-09-15,18:45:03,539.26,N/A,207,N/A,447,2
2025-09-15,18:45:03,302.86,N/A,475,N/A,35,25
2025-09-15,18:45:04,374.94,N/A,480,N/A,351,9
2025-09-15,18:45:04,178.29,N/A,297,N/A,455,17
2025-09-15,18:45:04,1278.48,N/A,66,N/A,345,54
2025-09-15,18:45:05,343.38,N/A,377,N/A,202,32
2025-09-15,18:45:06,1207.87,N/A,481,N/A,204,95
2025-09-15,18:45:06,624.73,N/A,38,N/A,403,11
2025-09-15,18:45:06,884.04,N/A,284,N/A,62,49
2025-09-15,18:45:07,1426.16,N/A,43,N/A,369,6
2025-09-15,18:45:07,475.3,N/A,177,N/A,49,72
2025-09-15,18:45:07,363.49,N/A,79,N/A,6,46
2025-09-15,18:45:07,927.98,N/A,291,N/A,121,61
2025-09-15,18:45:09,1309.42,N/A,473,N/A,399,56
2025-09-15,18:45:09,1457.17,N/A,363,N/A,442,46
2025-09-15,18:45:10,893.58,N/A,352,N/A,498,19
2025-09-15,18:45:11,665.24,N/A,160,N/A,208,49
2025-09-15,18:45:11,1473.59,N/A,311,N/A,148,3
2025-09-15,18:45:11,1295.24,N/A,266,N/A,205,47
2025-09-15,18:45:12,1306.8,N/A,78,N/A,443,18
2025-09-15,18:45:12,110.83,N/A,67,N/A,398,40
2025-09-15,18:45:12,386.15,N/A,401,N/A,364,62
2025-09-15,18:45:12,433.92,N/A,457,N/A,200,48
2025-09-15,18:45:13,1115.4,N/A,42,N/A,387,9
2025-09-15,18:45:13,894.92,N/A,480,N/A,359,2
2025-09-15,18:45:14,597.36,N/A,140,N/A,128,12
2025-09-15,18:45:14,973.54,N/A,158,N/A,237,5
2025-09-15,18:45:14,1449.15,N/A,472,N/A,465,36
2025-09-15,18:45:15,1047.96,N/A,306,N/A,461,13
2025-09-15,18:45:15,1407.62,N/A,310,N/A,38,33
2025-09-15,18:45:16,1211.02,N/A,433,N/A,280,5
2025-09-15,18:45:17,899.6,N/A,334,N/A,186,42
2025-09-15,18:45:17,402.53,N/A,490,N/A,33,71
2025-09-15,18:45:17,1366.39,N/A,37,N/A,496,76
2025-09-15,18:45:17,216.91,N/A,174,N/A,485,82
2025-09-15,18:45:18,1238.81,N/A,32,N/A,215,78
2025-09-15,18:45:18,737.67,N/A,243,N/A,110,65
2025-09-15,18:45:21,100.62,N/A,68,N/A,64,83
2025-09-15,18:45:22,1391.8,N/A,406,N/A,370,80
2025-09-15,18:45:23,864.22,N/A,278,N/A,493,71
2025-09-15,18:45:23,488.56,N/A,43,N/A,285,42
2025-09-15,18:45:24,324.18,N/A,381,N/A,469,54
2025-09-15,18:45:24,974.87,N/A,149,N/A,177,16
2025-09-15,18:45:24,395.2,N/A,106,N/A,294,67
