Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:10,378.68,N/A,97,N/A,478,20
2025-09-15,18:44:10,266.86,N/A,223,N/A,156,63
2025-09-15,18:44:11,1243.62,N/A,38,N/A,209,17
2025-09-15,18:44:11,723.64,N/A,426,N/A,201,61
2025-09-15,18:44:11,403.23,N/A,163,N/A,326,59
2025-09-15,18:44:12,712.15,N/A,422,N/A,480,68
2025-09-15,18:44:12,1069.66,N/A,170,N/A,43,51
2025-09-15,18:44:12,754.82,N/A,231,N/A,464,35
2025-09-15,18:44:12,1064.45,N/A,52,N/A,302,34
2025-09-15,18:44:14,907.84,N/A,93,N/A,111,61
2025-09-15,18:44:15,1001.21,N/A,364,N/A,393,5
2025-09-15,18:44:16,895.6,N/A,295,N/A,298,76
2025-09-15,18:44:16,153.52,N/A,453,N/A,37,65
2025-09-15,18:44:17,1335.15,N/A,22,N/A,133,58
2025-09-15,18:44:17,984.58,N/A,263,N/A,460,10
2025-09-15,18:44:17,363.65,N/A,459,N/A,400,78
2025-09-15,18:44:18,692.49,N/A,423,N/A,196,22
2025-09-15,18:44:19,209.33,N/A,399,N/A,108,21
2025-09-15,18:44:19,555.8,N/A,159,N/A,435,48
2025-09-15,18:44:19,582.86,N/A,147,N/A,34,22
2025-09-15,18:44:20,765.29,N/A,178,N/A,440,6
2025-09-15,18:44:20,553.85,N/A,276,N/A,425,50
2025-09-15,18:44:20,457.68,N/A,77,N/A,91,27
2025-09-15,18:44:21,348.6,N/A,164,N/A,37,19
2025-09-15,18:44:22,698.99,N/A,243,N/A,396,88
2025-09-15,18:44:23,1042.33,N/A,240,N/A,351,6
2025-09-15,18:44:23,670.52,N/A,415,N/A,141,74
2025-09-15,18:44:23,573.55,N/A,40,N/A,158,2
2025-09-15,18:44:24,602.56,N/A,482,N/A,394,92
2025-09-15,18:44:25,1096.95,N/A,94,N/A,47,91
2025-09-15,18:44:26,840.44,N/A,496,N/A,358,43
2025-09-15,18:44:26,1147.2,N/A,18,N/A,155,24
2025-09-15,18:44:26,994.23,N/A,428,N/A,183,59
2025-09-15,18:44:27,473.02,N/A,151,N/A,222,13
2025-09-15,18:44:27,896.31,N/A,2,N/A,53,86
2025-09-15,18:44:28,1044.62,N/A,266,N/A,487,81
2025-09-15,18:44:28,1298.68,N/A,2,N/A,404,25
2025-09-15,18:44:28,615.36,N/A,10,N/A,468,96
2025-09-15,18:44:28,251.65,N/A,398,N/A,87,27
2025-09-15,18:44:29,683.94,N/A,34,N/A,135,17
2025-09-15,18:44:29,666.81,N/A,470,N/A,221,59
2025-09-15,18:44:30,494.66,N/A,5,N/A,123,26
2025-09-15,18:44:30,1193.48,N/A,232,N/A,134,77
2025-09-15,18:44:30,311.25,N/A,224,N/A,30,55
2025-09-15,18:44:32,232.83,N/A,393,N/A,391,24
2025-09-15,18:44:32,186.41,N/A,382,N/A,279,28
2025-09-15,18:44:32,513.58,N/A,355,N/A,256,16
2025-09-15,18:44:33,1454.74,N/A,322,N/A,52,59
2025-09-15,18:44:34,906.73,N/A,250,N/A,468,13
2025-09-15,18:44:34,351.3,N/A,172,N/A,215,66
2025-09-15,18:44:34,375.63,N/A,394,N/A,349,7
2025-09-15,18:44:35,803.03,N/A,330,N/A,452,74
2025-09-15,18:44:35,770.74,N/A,320,N/A,365,72
2025-09-15,18:44:36,934.51,N/A,171,N/A,403,68
2025-09-15,18:44:36,1186.91,N/A,298,N/A,74,73
2025-09-15,18:44:36,1244.21,N/A,340,N/A,279,47
2025-09-15,18:44:36,123.77,N/A,182,N/A,169,1
2025-09-15,18:44:36,979.06,N/A,54,N/A,231,95
2025-09-15,18:44:37,1429.33,N/A,150,N/A,76,95
2025-09-15,18:44:37,492.31,N/A,413,N/A,467,72
2025-09-15,18:44:37,1191.21,N/A,52,N/A,428,6
2025-09-15,18:44:38,1076.56,N/A,37,N/A,208,5
2025-09-15,18:44:38,214.5,N/A,156,N/A,257,87
2025-09-15,18:44:38,765.0,N/A,89,N/A,2,13
2025-09-15,18:44:38,1492.08,N/A,234,N/A,223,57
2025-09-15,18:44:39,392.83,N/A,5,N/A,473,3
2025-09-15,18:44:39,1428.83,N/A,51,N/A,306,67
2025-09-15,18:44:39,1349.22,N/A,32,N/A,367,92
2025-09-15,18:44:40,724.92,N/A,453,N/A,275,57
2025-09-15,18:44:41,1345.74,N/A,380,N/A,290,16
2025-09-15,18:44:41,800.36,N/A,306,N/A,268,53
2025-09-15,18:44:42,658.55,N/A,253,N/A,112,10
2025-09-15,18:44:42,1082.3,N/A,469,N/A,273,77
2025-09-15,18:44:43,976.4,N/A,243,N/A,236,53
2025-09-15,18:44:43,1191.37,N/A,352,N/A,413,44
2025-09-15,18:44:43,1121.99,N/A,26,N/A,84,67
2025-09-15,18:44:43,482.49,N/A,450,N/A,486,98
2025-09-15,18:44:44,1266.49,N/A,103,N/A,141,73
2025-09-15,18:44:44,827.85,N/A,473,N/A,388,56
2025-09-15,18:44:45,1428.79,N/A,347,N/A,19,16
2025-09-15,18:44:45,1453.81,N/A,352,N/A,166,92
2025-09-15,18:44:45,1464.73,N/A,256,N/A,242,39
2025-09-15,18:44:45,919.42,N/A,471,N/A,299,93
2025-09-15,18:44:46,790.16,N/A,159,N/A,369,77
2025-09-15,18:44:46,1306.97,N/A,10,N/A,66,52
2025-09-15,18:44:47,545.9,N/A,199,N/A,234,54
2025-09-15,18:44:48,1483.72,N/A,426,N/A,186,26
2025-09-15,18:44:48,150.43,N/A,289,N/A,498,81
2025-09-15,18:44:48,396.68,N/A,454,N/A,408,18
2025-09-15,18:44:49,972.1,N/A,386,N/A,484,40
2025-09-15,18:44:50,1309.94,N/A,43,N/A,239,13
2025-09-15,18:44:51,1325.74,N/A,48,N/A,255,42
2025-09-15,18:44:52,734.29,N/A,406,N/A,142,62
2025-09-15,18:44:53,490.27,N/A,285,N/A,329,53
2025-09-15,18:44:53,381.45,N/A,485,N/A,343,96
2025-09-15,18:44:53,1233.09,N/A,234,N/A,77,44
2025-09-15,18:44:54,974.45,N/A,353,N/A,378,9
2025-09-15,18:44:54,1049.75,N/A,384,N/A,256,83
2025-09-15,18:44:54,1062.69,N/A,135,N/A,320,36
2025-09-15,18:44:54,1106.83,N/A,81,N/A,457,66
2025-09-15,18:44:54,1363.56,N/A,490,N/A,56,34
2025-09-15,18:44:55,613.48,N/A,7,N/A,395,6
2025-09-15,18:44:56,588.98,N/A,428,N/A,213,20
2025-09-15,18:44:58,923.87,N/A,111,N/A,20,78
2025-09-15,18:44:58,250.56,N/A,249,N/A,238,48
2025-09-15,18:44:58,430.14,N/A,402,N/A,153,8
2025-09-15,18:44:58,496.76,N/A,402,N/A,23,65
2025-09-15,18:44:59,1246.33,N/A,128,N/A,356,24
2025-09-15,18:44:59,918.26,N/A,371,N/A,139,87
2025-09-15,18:44:59,267.31,N/A,113,N/A,444,15
2025-09-15,18:45:00,780.96,N/A,473,N/A,238,19
2025-09-15,18:45:00,677.54,N/A,253,N/A,167,56
2025-09-15,18:45:00,273.13,N/A,498,N/A,332,63
2025-09-15,18:45:01,386.53,N/A,479,N/A,484,4
2025-09-15,18:45:01,1412.61,N/A,77,N/A,483,25
2025-09-15,18:45:03,530.58,N/A,63,N/A,369,81
2025-09-15,18:45:03,1425.28,N/A,301,N/A,117,12
2025-09-15,18:45:03,1221.59,N/A,334,N/A,419,60
2025-09-15,18:45:03,1483.59,N/A,44,N/A,448,77
2025-09-15,18:45:03,271.03,N/A,3,N/A,305,35
2025-09-15,18:45:04,626.99,N/A,419,N/A,307,74
2025-09-15,18:45:04,523.32,N/A,383,N/A,15,8
2025-09-15,18:45:06,749.3,N/A,411,N/A,94,99
2025-09-15,18:45:06,672.38,N/A,172,N/A,43,74
2025-09-15,18:45:07,585.6,N/A,236,N/A,228,92
2025-09-15,18:45:07,127.57,N/A,4,N/A,175,98
2025-09-15,18:45:07,425.67,N/A,465,N/A,38,85
2025-09-15,18:45:07,1181.73,N/A,10,N/A,234,79
2025-09-15,18:45:07,351.04,N/A,455,N/A,168,26
2025-09-15,18:45:08,1015.81,N/A,255,N/A,439,87
2025-09-15,18:45:08,1391.64,N/A,393,N/A,397,7
2025-09-15,18:45:08,1010.05,N/A,197,N/A,20,90
2025-09-15,18:45:09,543.12,N/A,240,N/A,126,17
2025-09-15,18:45:10,1161.11,N/A,316,N/A,45,12
2025-09-15,18:45:10,1123.91,N/A,104,N/A,232,12
2025-09-15,18:45:11,478.02,N/A,149,N/A,443,19
2025-09-15,18:45:12,1354.27,N/A,245,N/A,457,32
2025-09-15,18:45:14,765.13,N/A,446,N/A,473,100
2025-09-15,18:45:14,906.57,N/A,29,N/A,422,39
2025-09-15,18:45:14,236.3,N/A,148,N/A,246,37
2025-09-15,18:45:15,296.88,N/A,199,N/A,88,52
2025-09-15,18:45:16,723.71,N/A,226,N/A,342,35
2025-09-15,18:45:17,558.5,N/A,187,N/A,172,9
2025-09-15,18:45:18,545.96,N/A,336,N/A,155,100
2025-09-15,18:45:19,776.51,N/A,377,N/A,147,42
2025-09-15,18:45:19,1231.04,N/A,284,N/A,70,21
2025-09-15,18:45:20,240.54,N/A,343,N/A,202,10
2025-09-15,18:45:20,1218.94,N/A,60,N/A,418,2
2025-09-15,18:45:21,931.29,N/A,419,N/A,367,27
2025-09-15,18:45:21,931.6,N/A,98,N/A,240,7
2025-09-15,18:45:22,1354.67,N/A,91,N/A,157,9
2025-09-15,18:45:22,751.74,N/A,56,N/A,168,95
2025-09-15,18:45:22,1282.12,N/A,163,N/A,180,30
2025-09-15,18:45:22,713.74,N/A,412,N/A,478,2
2025-09-15,18:45:23,329.14,N/A,151,N/A,85,92
2025-09-15,18:45:24,146.03,N/A,294,N/A,294,25
2025-09-15,18:45:24,1050.52,N/A,360,N/A,358,33
2025-09-15,18:45:24,985.39,N/A,146,N/A,29,4
2025-09-15,18:45:25,1489.16,N/A,229,N/A,380,24
