Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ
2025-09-15,18:44:11,183.26,N/A,238,N/A,215,29
2025-09-15,18:44:11,1284.39,N/A,50,N/A,421,82
2025-09-15,18:44:11,219.28,N/A,140,N/A,364,79
2025-09-15,18:44:12,132.04,N/A,177,N/A,34,18
2025-09-15,18:44:12,1133.92,N/A,150,N/A,374,70
2025-09-15,18:44:13,1287.82,N/A,490,N/A,51,58
2025-09-15,18:44:13,974.57,N/A,393,N/A,446,34
2025-09-15,18:44:13,445.86,N/A,415,N/A,164,82
2025-09-15,18:44:14,950.15,N/A,266,N/A,381,44
2025-09-15,18:44:14,476.33,N/A,167,N/A,371,3
2025-09-15,18:44:14,925.26,N/A,406,N/A,434,87
2025-09-15,18:44:15,559.72,N/A,483,N/A,393,6
2025-09-15,18:44:15,858.67,N/A,298,N/A,101,47
2025-09-15,18:44:16,276.11,N/A,383,N/A,41,29
2025-09-15,18:44:17,640.82,N/A,160,N/A,167,41
2025-09-15,18:44:17,281.73,N/A,366,N/A,380,33
2025-09-15,18:44:17,307.6,N/A,37,N/A,458,86
2025-09-15,18:44:18,351.26,N/A,108,N/A,104,26
2025-09-15,18:44:18,1264.04,N/A,57,N/A,257,81
2025-09-15,18:44:18,671.54,N/A,280,N/A,272,27
2025-09-15,18:44:20,1388.57,N/A,63,N/A,170,60
2025-09-15,18:44:20,1237.98,N/A,29,N/A,262,67
2025-09-15,18:44:21,739.57,N/A,26,N/A,88,46
2025-09-15,18:44:21,759.12,N/A,109,N/A,15,12
2025-09-15,18:44:21,1104.35,N/A,358,N/A,380,77
2025-09-15,18:44:23,117.33,N/A,316,N/A,93,29
2025-09-15,18:44:23,1201.91,N/A,354,N/A,297,18
2025-09-15,18:44:23,534.28,N/A,345,N/A,235,21
2025-09-15,18:44:23,1082.31,N/A,220,N/A,144,6
2025-09-15,18:44:24,737.36,N/A,464,N/A,132,51
2025-09-15,18:44:25,1155.16,N/A,345,N/A,67,93
2025-09-15,18:44:25,1099.45,N/A,30,N/A,301,35
2025-09-15,18:44:26,1331.91,N/A,406,N/A,255,70
2025-09-15,18:44:27,956.66,N/A,176,N/A,443,77
2025-09-15,18:44:28,1323.45,N/A,299,N/A,31,12
2025-09-15,18:44:28,622.56,N/A,473,N/A,189,3
2025-09-15,18:44:29,1206.96,N/A,112,N/A,99,37
2025-09-15,18:44:29,904.7,N/A,285,N/A,396,30
2025-09-15,18:44:30,172.66,N/A,13,N/A,85,13
2025-09-15,18:44:30,952.96,N/A,497,N/A,462,3
2025-09-15,18:44:31,255.84,N/A,203,N/A,125,37
2025-09-15,18:44:31,1114.12,N/A,436,N/A,486,49
2025-09-15,18:44:31,1114.88,N/A,292,N/A,17,89
2025-09-15,18:44:31,786.04,N/A,492,N/A,140,92
2025-09-15,18:44:31,1092.28,N/A,63,N/A,355,80
2025-09-15,18:44:32,234.97,N/A,226,N/A,494,54
2025-09-15,18:44:32,437.78,N/A,247,N/A,215,2
2025-09-15,18:44:32,142.84,N/A,270,N/A,333,28
2025-09-15,18:44:33,345.93,N/A,83,N/A,439,46
2025-09-15,18:44:33,423.55,N/A,73,N/A,97,3
2025-09-15,18:44:33,804.67,N/A,5,N/A,266,61
2025-09-15,18:44:33,771.93,N/A,348,N/A,174,83
2025-09-15,18:44:34,842.92,N/A,151,N/A,453,73
2025-09-15,18:44:36,821.93,N/A,126,N/A,309,25
2025-09-15,18:44:36,1100.42,N/A,317,N/A,268,76
2025-09-15,18:44:37,285.1,N/A,270,N/A,22,90
2025-09-15,18:44:38,1212.86,N/A,425,N/A,375,39
2025-09-15,18:44:39,931.98,N/A,493,N/A,418,26
2025-09-15,18:44:39,209.29,N/A,70,N/A,268,53
2025-09-15,18:44:40,853.5,N/A,394,N/A,1,27
2025-09-15,18:44:41,723.0,N/A,35,N/A,302,2
2025-09-15,18:44:41,1259.5,N/A,404,N/A,336,94
